name,type,category,fdc_id,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugars_g,water_g,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg
Apple (Fuji),fruit,Pome,167793,63.0,0.2,0.18,15.22,2.1,11.68,84.16,2.0,0.013,0.026,0.07,0.051,0.045,3.0,,,,0.18,,7.0,0.1,5.0,13.0,109.0,1.0,0.04,0.025,0.031,0.0
Apple (Gala),fruit,Pome,168204,57.0,0.25,0.12,13.68,2.3,10.37,85.76,1.0,0.017,0.029,0.075,0.055,0.049,3.0,,,,0.18,,7.0,0.12,5.0,11.0,108.0,1.0,0.05,0.021,0.037,0.0
Apple (Granny Smith),fruit,Pome,168203,58.0,0.44,0.19,13.61,2.8,9.59,85.46,5.0,0.019,0.025,0.126,0.056,0.037,3.0,,,,0.18,,5.0,0.15,5.0,12.0,120.0,1.0,0.04,0.031,0.044,0.1
Apple (Red Delicious),fruit,Pome,168201,59.0,0.27,0.2,14.06,2.3,10.48,85.33,3.0,0.015,0.025,0.075,0.051,0.034,3.0,,,,0.24,,6.0,0.11,5.0,12.0,104.0,1.0,0.04,0.027,0.034,0.0
Apple (Honeycrisp),fruit,Pome,1750343,,0.1015625,0.1,14.6819375,1.721,12.37,85.03,,0.00875,0.07375,0.07375,,0.03275,0.0,,,,,,3.874,0.0,4.151,7.852,98.04,0.1375,0.01828,0.0234,0.0397,
Pear (Bartlett),fruit,Pome,167776,63.0,0.39,0.16,15.01,3.1,9.69,84.14,1.0,0.012,0.026,0.164,0.042,0.026,6.0,,4.4,,0.12,,9.0,0.19,6.0,11.0,101.0,1.0,0.08,0.078,0.037,0.1
Orange (Navel),fruit,Citrus,169917,49.0,0.91,0.15,12.54,2.2,8.5,85.97,12.0,0.068,0.051,0.425,0.261,0.079,34.0,0.0,59.1,0.0,0.15,,43.0,0.13,11.0,23.0,166.0,1.0,0.08,0.039,0.029,0.0
Mandarin,fruit,Citrus,169918,46.0,0.7,0.21,11.54,2.4,9.14,87.14,11.0,0.1,0.04,0.4,0.25,0.051,17.0,0.0,45.0,0.0,0.18,,43.0,0.09,10.0,12.0,169.0,0.0,0.08,0.039,0.024,0.5
Strawberry,fruit,Berry,167762,32.0,0.67,0.3,7.68,2.0,4.89,90.95,1.0,0.024,0.022,0.386,0.125,0.047,24.0,0.0,58.8,0.0,0.29,,16.0,0.41,13.0,24.0,153.0,1.0,0.14,0.048,0.386,0.4
Blueberry,fruit,Berry,171711,57.0,0.74,0.33,14.49,2.4,9.96,84.21,3.0,0.037,0.041,0.418,0.124,0.052,6.0,0.0,9.7,0.0,0.57,,6.0,0.28,6.0,12.0,77.0,1.0,0.16,0.057,0.336,0.1
Raspberry,fruit,Berry,167755,52.0,1.2,0.65,11.94,6.5,4.42,85.75,2.0,0.032,0.038,0.598,0.329,0.055,21.0,0.0,26.2,0.0,0.87,,25.0,0.69,22.0,29.0,151.0,1.0,0.42,0.09,0.67,0.2
Blackberry,fruit,Berry,173946,43.0,1.39,0.49,9.61,5.3,4.88,88.15,11.0,0.02,0.026,0.646,0.276,0.03,25.0,0.0,21.0,0.0,1.17,,29.0,0.62,20.0,22.0,162.0,1.0,0.53,0.165,0.646,0.4
Peach (Yellow),fruit,Stone,169928,39.0,0.91,0.25,9.54,1.5,8.39,88.87,16.0,0.024,0.031,0.806,0.153,0.025,4.0,0.0,6.6,0.0,0.73,,6.0,0.25,9.0,20.0,190.0,0.0,0.17,0.068,0.061,0.1
